As Of,NAV per Share,Daily NAV Change,Daily NAV Change %
04/Apr/2013,10.25,-0.15,-1.44
03/Apr/2013,10.40,-0.03,-0.29
02/Apr/2013,10.43,0.02,0.19
28/Mar/2013,10.41,0.04,0.39
27/Mar/2013,10.37,0.02,0.19
26/Mar/2013,10.35,0.04,0.39
25/Mar/2013,10.31,0.10,0.98
22/Mar/2013,10.21,-0.07,-0.68
21/Mar/2013,10.28,-0.05,-0.48
20/Mar/2013,10.33,-0.01,-0.10
19/Mar/2013,10.34,0.03,0.29
18/Mar/2013,10.31,-0.05,-0.48
15/Mar/2013,10.36,-0.12,-1.15
14/Mar/2013,10.48,0.02,0.19
13/Mar/2013,10.46,0.07,0.67
12/Mar/2013,10.39,-0.02,-0.19
11/Mar/2013,10.41,0.01,0.10
08/Mar/2013,10.40,0.07,0.68
07/Mar/2013,10.33,-0.07,-0.67
06/Mar/2013,10.40,0.16,1.56
05/Mar/2013,10.24,0.15,1.49
04/Mar/2013,10.09,0.04,0.40
01/Mar/2013,10.05,-0.01,-0.10
28/Feb/2013,10.06,0.12,1.21
27/Feb/2013,9.94,0.05,0.51
26/Feb/2013,9.89,-0.04,-0.40
25/Feb/2013,9.93,-0.01,-0.10
22/Feb/2013,9.94,0.07,0.71
21/Feb/2013,9.87,-0.11,-1.10
20/Feb/2013,9.98,0.03,0.30
19/Feb/2013,9.95,0.04,0.40
18/Feb/2013,9.91,-0.01,-0.10
15/Feb/2013,9.92,0.06,0.61
14/Feb/2013,9.86,0.06,0.61
13/Feb/2013,9.80,--,--
06/Feb/2013,9.79,0.02,0.20
05/Feb/2013,9.77,-0.02,-0.20
04/Feb/2013,9.79,0.08,0.82
01/Feb/2013,9.71,-0.03,-0.31
31/Jan/2013,9.74,-0.02,-0.20
30/Jan/2013,9.76,0.01,0.10
29/Jan/2013,9.75,-0.15,-1.52
28/Jan/2013,9.90,-0.01,-0.10
25/Jan/2013,9.91,-0.01,-0.10
24/Jan/2013,9.92,0.04,0.40
23/Jan/2013,9.88,0.00,0.00
22/Jan/2013,9.88,-0.01,-0.10
21/Jan/2013,9.89,-0.01,-0.10
18/Jan/2013,9.90,0.09,0.92
17/Jan/2013,9.81,0.01,0.10
16/Jan/2013,9.80,0.03,0.31
15/Jan/2013,9.77,-0.06,-0.61
14/Jan/2013,9.83,0.02,0.20
11/Jan/2013,9.81,-0.09,-0.91
10/Jan/2013,9.90,0.02,0.20
09/Jan/2013,9.88,0.07,0.71
08/Jan/2013,9.81,-0.06,-0.61
07/Jan/2013,9.87,-0.02,-0.20
04/Jan/2013,9.89,-0.05,-0.50
03/Jan/2013,9.94,0.06,0.61
02/Jan/2013,9.88,0.31,3.24
31/Dec/2012,9.57,0.01,0.10
28/Dec/2012,9.56,-0.03,-0.31
27/Dec/2012,9.59,--,--
21/Dec/2012,9.64,0.01,0.10
20/Dec/2012,9.63,-0.09,-0.93
19/Dec/2012,9.72,0.06,0.62
18/Dec/2012,9.66,0.09,0.94
17/Dec/2012,9.57,-0.04,-0.42
14/Dec/2012,9.61,-0.06,-0.62
13/Dec/2012,9.67,-0.04,-0.41
12/Dec/2012,9.71,0.02,0.21
11/Dec/2012,9.69,0.05,0.52
10/Dec/2012,9.64,0.05,0.52
07/Dec/2012,9.59,0.08,0.84
06/Dec/2012,9.51,0.08,0.85
05/Dec/2012,9.43,-0.01,-0.11
04/Dec/2012,9.44,-0.13,-1.36
03/Dec/2012,9.57,-948.50,-99.00
30/Nov/2012,9.58,0.00,0.00
29/Nov/2012,9.58,0.14,1.48
28/Nov/2012,9.44,-0.08,-0.84
27/Nov/2012,9.52,0.04,0.42
26/Nov/2012,9.48,0.03,0.32
23/Nov/2012,9.45,0.03,0.32
22/Nov/2012,9.42,0.01,0.11
21/Nov/2012,9.41,0.02,0.21
20/Nov/2012,9.39,0.02,0.21
19/Nov/2012,9.37,0.13,1.41
16/Nov/2012,9.24,0.01,0.11
15/Nov/2012,9.23,-0.20,-2.12
14/Nov/2012,9.43,-0.01,-0.11
13/Nov/2012,9.44,-0.04,-0.42
12/Nov/2012,9.48,0.03,0.32
09/Nov/2012,9.45,-0.07,-0.74
08/Nov/2012,9.52,-0.12,-1.24
07/Nov/2012,9.64,0.00,0.00
06/Nov/2012,9.64,0.13,1.37
05/Nov/2012,9.51,-0.02,-0.21
02/Nov/2012,9.53,-917.04,-98.97
31/Oct/2012,9.27,-0.04,-0.43
26/Oct/2012,9.31,0.00,0.00
25/Oct/2012,9.31,-0.08,-0.85
24/Oct/2012,9.39,0.08,0.86
23/Oct/2012,9.31,-0.02,-0.21
22/Oct/2012,9.33,-0.06,-0.64
19/Oct/2012,9.39,-0.05,-0.53
18/Oct/2012,9.44,-0.09,-0.94
17/Oct/2012,9.53,-0.04,-0.42
16/Oct/2012,9.57,0.04,0.42
15/Oct/2012,9.53,0.03,0.32
12/Oct/2012,9.50,-0.07,-0.73
11/Oct/2012,9.57,-0.04,-0.42
10/Oct/2012,9.61,-0.11,-1.13
09/Oct/2012,9.72,-0.04,-0.41
08/Oct/2012,9.76,-0.07,-0.71
05/Oct/2012,9.83,0.06,0.61
04/Oct/2012,9.77,-0.03,-0.31
03/Oct/2012,9.80,0.03,0.31
02/Oct/2012,9.77,-0.01,-0.10
01/Oct/2012,9.78,-969.70,-99.00
28/Sept/2012,9.79,0.04,0.41
27/Sept/2012,9.75,0.02,0.21
26/Sept/2012,9.73,-0.12,-1.22
25/Sept/2012,9.85,-0.07,-0.71
24/Sept/2012,9.92,-0.06,-0.60
21/Sept/2012,9.98,0.05,0.50
20/Sept/2012,9.93,-0.03,-0.30
19/Sept/2012,9.96,-0.02,-0.20
18/Sept/2012,9.98,0.06,0.60
17/Sept/2012,9.92,-0.09,-0.90
14/Sept/2012,10.01,0.11,1.11
13/Sept/2012,9.90,-0.01,-0.10
12/Sept/2012,9.91,0.02,0.20
11/Sept/2012,9.89,-0.10,-1.00
10/Sept/2012,9.99,--,--
07/Sept/2012,10.01,--,--
06/Sept/2012,9.95,--,--
05/Sept/2012,9.87,--,--
04/Sept/2012,9.92,--,--
03/Sept/2012,9.93,--,--
31/Aug/2012,9.89,-0.08,-0.80
30/Aug/2012,9.97,--,--
29/Aug/2012,10.03,--,--
28/Aug/2012,9.97,--,--
27/Aug/2012,10.01,--,--
24/Aug/2012,10.03,--,--
23/Aug/2012,10.07,--,--
22/Aug/2012,10.15,--,--
21/Aug/2012,10.29,--,--
20/Aug/2012,10.35,--,--
17/Aug/2012,10.42,--,--
16/Aug/2012,10.33,--,--
14/Aug/2012,10.32,--,--
13/Aug/2012,10.33,--,--
10/Aug/2012,10.42,--,--
09/Aug/2012,10.39,--,--
08/Aug/2012,10.27,--,--
07/Aug/2012,10.18,--,--
06/Aug/2012,10.11,--,--
03/Aug/2012,9.96,--,--
02/Aug/2012,9.90,--,--
01/Aug/2012,9.83,--,--
31/Jul/2012,9.95,-0.05,-0.50
30/Jul/2012,10.00,--,--
27/Jul/2012,9.81,--,--
26/Jul/2012,9.72,--,--
25/Jul/2012,9.72,--,--
24/Jul/2012,9.77,--,--
23/Jul/2012,9.68,--,--
20/Jul/2012,9.94,--,--
19/Jul/2012,9.93,--,--
18/Jul/2012,9.72,--,--
17/Jul/2012,9.58,--,--
16/Jul/2012,9.61,--,--
13/Jul/2012,9.61,--,--
12/Jul/2012,9.53,--,--
11/Jul/2012,9.67,--,--
10/Jul/2012,9.80,--,--
09/Jul/2012,9.71,--,--
06/Jul/2012,9.87,--,--
05/Jul/2012,9.95,--,--
04/Jul/2012,9.86,--,--
03/Jul/2012,9.78,--,--
02/Jul/2012,9.73,--,--
29/Jun/2012,9.53,0.00,0.00
28/Jun/2012,9.53,--,--
27/Jun/2012,9.53,--,--
26/Jun/2012,9.45,--,--
25/Jun/2012,9.51,--,--
22/Jun/2012,9.57,--,--
21/Jun/2012,9.71,--,--
20/Jun/2012,9.71,--,--
19/Jun/2012,9.71,--,--
18/Jun/2012,9.65,--,--
15/Jun/2012,9.52,--,--
14/Jun/2012,9.50,--,--
13/Jun/2012,9.60,--,--
12/Jun/2012,9.62,--,--
11/Jun/2012,9.69,--,--
08/Jun/2012,9.61,--,--
07/Jun/2012,9.67,--,--
06/Jun/2012,9.56,--,--
05/Jun/2012,9.38,--,--
04/Jun/2012,9.29,--,--
01/Jun/2012,9.48,--,--
31/May/2012,9.61,-0.07,-0.72
30/May/2012,9.68,--,--
29/May/2012,9.71,--,--
25/May/2012,9.60,--,--
24/May/2012,9.62,--,--
23/May/2012,9.57,--,--
22/May/2012,9.61,--,--
21/May/2012,9.32,--,--
18/May/2012,9.36,--,--
16/May/2012,9.75,--,--
15/May/2012,9.84,--,--
14/May/2012,9.79,--,--
11/May/2012,9.79,--,--
10/May/2012,9.88,--,--
09/May/2012,9.80,--,--
08/May/2012,9.89,--,--
07/May/2012,9.95,--,--
04/May/2012,10.07,--,--
03/May/2012,10.34,--,--
02/May/2012,10.34,--,--
30/Apr/2012,10.23,0.03,0.29
27/Apr/2012,10.20,--,--
26/Apr/2012,10.12,--,--
25/Apr/2012,10.06,--,--
24/Apr/2012,9.92,--,--
23/Apr/2012,9.94,--,--
20/Apr/2012,10.15,--,--
19/Apr/2012,10.32,--,--
18/Apr/2012,10.28,--,--
17/Apr/2012,10.19,--,--
16/Apr/2012,10.18,--,--
13/Apr/2012,10.26,--,--
12/Apr/2012,10.16,--,--
11/Apr/2012,10.12,--,--
10/Apr/2012,10.30,--,--
05/Apr/2012,10.37,--,--
04/Apr/2012,10.36,--,--
03/Apr/2012,10.38,--,--
02/Apr/2012,10.32,--,--
30/Mar/2012,10.26,-0.03,-0.29
29/Mar/2012,10.29,--,--
28/Mar/2012,10.40,--,--
27/Mar/2012,10.39,--,--
26/Mar/2012,10.27,--,--
23/Mar/2012,10.17,--,--
22/Mar/2012,10.23,--,--
21/Mar/2012,10.23,--,--
20/Mar/2012,10.19,--,--
19/Mar/2012,10.27,--,--
16/Mar/2012,10.31,--,--
15/Mar/2012,10.31,--,--
14/Mar/2012,10.29,--,--
13/Mar/2012,10.16,--,--
12/Mar/2012,10.00,--,--
09/Mar/2012,10.01,--,--
08/Mar/2012,9.83,--,--
07/Mar/2012,9.79,--,--
06/Mar/2012,9.74,--,--
05/Mar/2012,9.87,--,--
02/Mar/2012,9.98,--,--
01/Mar/2012,9.88,--,--
29/Feb/2012,9.84,0.05,0.51
28/Feb/2012,9.79,--,--
27/Feb/2012,9.70,--,--
24/Feb/2012,9.77,--,--
23/Feb/2012,9.75,--,--
22/Feb/2012,9.87,--,--
21/Feb/2012,9.87,--,--
20/Feb/2012,9.87,--,--
17/Feb/2012,9.95,--,--
16/Feb/2012,9.93,--,--
15/Feb/2012,9.99,--,--
14/Feb/2012,9.82,--,--
13/Feb/2012,9.77,--,--
10/Feb/2012,9.73,--,--
09/Feb/2012,9.71,--,--
08/Feb/2012,9.72,--,--
07/Feb/2012,9.67,--,--
06/Feb/2012,9.80,--,--
03/Feb/2012,9.75,--,--
02/Feb/2012,9.61,--,--
01/Feb/2012,9.46,--,--
31/Jan/2012,9.50,0.10,1.06
30/Jan/2012,9.40,--,--
27/Jan/2012,9.41,--,--
26/Jan/2012,9.50,--,--
25/Jan/2012,9.45,--,--
24/Jan/2012,9.36,--,--
23/Jan/2012,9.34,--,--
20/Jan/2012,9.40,--,--
19/Jan/2012,9.40,--,--
18/Jan/2012,9.26,--,--
17/Jan/2012,9.27,--,--
16/Jan/2012,9.20,--,--
13/Jan/2012,9.22,--,--
12/Jan/2012,9.15,--,--
11/Jan/2012,9.21,--,--
10/Jan/2012,9.13,--,--
09/Jan/2012,9.06,--,--
06/Jan/2012,9.04,--,--
05/Jan/2012,8.96,--,--
04/Jan/2012,8.82,--,--
03/Jan/2012,8.89,--,--
02/Jan/2012,8.78,--,--
30/Dec/2011,8.78,0.03,0.34
29/Dec/2011,8.75,--,--
28/Dec/2011,8.73,--,--
27/Dec/2011,8.75,--,--
23/Dec/2011,8.72,--,--
22/Dec/2011,8.66,--,--
21/Dec/2011,8.60,--,--
20/Dec/2011,8.63,--,--
19/Dec/2011,8.61,--,--
16/Dec/2011,8.66,--,--
15/Dec/2011,8.65,--,--
14/Dec/2011,8.76,--,--
13/Dec/2011,8.88,--,--
12/Dec/2011,8.78,--,--
09/Dec/2011,8.72,--,--
08/Dec/2011,8.87,--,--
07/Dec/2011,8.82,--,--
06/Dec/2011,8.92,--,--
05/Dec/2011,8.90,--,--
02/Dec/2011,8.86,--,--
01/Dec/2011,8.82,--,--
30/Nov/2011,8.67,0.10,1.17
29/Nov/2011,8.57,--,--
28/Nov/2011,8.49,--,--
25/Nov/2011,8.36,--,--
24/Nov/2011,8.32,--,--
23/Nov/2011,8.40,--,--
22/Nov/2011,8.46,--,--
21/Nov/2011,8.52,--,--
18/Nov/2011,8.67,--,--
17/Nov/2011,8.86,--,--
16/Nov/2011,8.95,--,--
15/Nov/2011,8.92,--,--
14/Nov/2011,8.94,--,--
11/Nov/2011,8.81,--,--
10/Nov/2011,8.75,--,--
09/Nov/2011,8.93,--,--
08/Nov/2011,8.95,--,--
07/Nov/2011,8.87,--,--
04/Nov/2011,8.87,--,--
03/Nov/2011,8.77,--,--
02/Nov/2011,8.63,--,--
31/Oct/2011,8.73,-0.02,-0.23
28/Oct/2011,8.75,--,--
27/Oct/2011,8.71,--,--
26/Oct/2011,8.65,--,--
25/Oct/2011,8.70,--,--
24/Oct/2011,8.66,--,--
21/Oct/2011,8.52,--,--
20/Oct/2011,8.43,--,--
19/Oct/2011,8.63,--,--
18/Oct/2011,8.64,--,--
17/Oct/2011,8.70,--,--
14/Oct/2011,8.64,--,--
13/Oct/2011,8.61,--,--
12/Oct/2011,8.60,--,--
11/Oct/2011,8.58,--,--
10/Oct/2011,8.46,--,--
07/Oct/2011,8.41,--,--
06/Oct/2011,8.36,--,--
05/Oct/2011,8.18,--,--
04/Oct/2011,8.05,--,--
03/Oct/2011,8.16,--,--
30/Sept/2011,8.27,-0.13,-1.55
29/Sept/2011,8.40,--,--
28/Sept/2011,8.48,--,--
27/Sept/2011,8.47,--,--
26/Sept/2011,8.24,--,--
23/Sept/2011,8.26,--,--
22/Sept/2011,8.32,--,--
21/Sept/2011,8.65,--,--
20/Sept/2011,8.65,--,--
19/Sept/2011,8.59,--,--
16/Sept/2011,8.64,--,--
15/Sept/2011,8.53,--,--
14/Sept/2011,8.50,--,--
13/Sept/2011,8.41,--,--
12/Sept/2011,8.32,--,--
09/Sept/2011,8.39,--,--
08/Sept/2011,8.36,--,--
07/Sept/2011,8.27,--,--
06/Sept/2011,7.98,--,--
05/Sept/2011,8.14,--,--
02/Sept/2011,8.21,--,--
01/Sept/2011,8.41,--,--
31/Aug/2011,8.36,0.11,1.33
30/Aug/2011,8.25,--,--
29/Aug/2011,8.11,--,--
26/Aug/2011,7.83,--,--
25/Aug/2011,7.91,--,--
24/Aug/2011,7.93,--,--
23/Aug/2011,7.74,--,--
22/Aug/2011,7.69,--,--
19/Aug/2011,7.71,--,--
18/Aug/2011,7.86,--,--
17/Aug/2011,8.29,--,--
16/Aug/2011,8.35,--,--
12/Aug/2011,8.29,--,--
11/Aug/2011,8.11,--,--
10/Aug/2011,8.13,--,--
09/Aug/2011,8.02,--,--
08/Aug/2011,8.24,--,--
05/Aug/2011,8.44,--,--
04/Aug/2011,8.89,--,--
03/Aug/2011,8.97,--,--
02/Aug/2011,9.14,--,--
01/Aug/2011,9.21,--,--
29/Jul/2011,9.05,-0.17,-1.84
28/Jul/2011,9.22,--,--
27/Jul/2011,9.26,--,--
26/Jul/2011,9.36,--,--
25/Jul/2011,9.43,--,--
22/Jul/2011,9.40,--,--
21/Jul/2011,9.36,--,--
20/Jul/2011,9.50,--,--
19/Jul/2011,9.40,--,--
18/Jul/2011,9.33,--,--
15/Jul/2011,9.35,--,--
14/Jul/2011,9.43,--,--
13/Jul/2011,9.51,--,--
12/Jul/2011,9.51,--,--
11/Jul/2011,9.70,--,--
08/Jul/2011,9.61,--,--
07/Jul/2011,9.63,--,--
06/Jul/2011,9.53,--,--
05/Jul/2011,9.42,--,--
04/Jul/2011,9.39,--,--
01/Jul/2011,9.26,--,--
30/Jun/2011,9.22,0.04,0.44
29/Jun/2011,9.18,--,--
28/Jun/2011,9.12,--,--
27/Jun/2011,9.05,--,--
24/Jun/2011,9.18,--,--
22/Jun/2011,9.05,--,--
21/Jun/2011,8.96,--,--
20/Jun/2011,8.86,--,--
17/Jun/2011,8.94,--,--
16/Jun/2011,9.08,--,--
15/Jun/2011,9.14,--,--
14/Jun/2011,9.09,--,--
10/Jun/2011,9.10,--,--
09/Jun/2011,9.12,--,--
08/Jun/2011,9.08,--,--
07/Jun/2011,9.16,--,--
06/Jun/2011,9.29,--,--
03/Jun/2011,9.38,--,--
01/Jun/2011,9.71,--,--
31/May/2011,9.65,0.02,0.21
30/May/2011,9.63,--,--
27/May/2011,9.66,--,--
26/May/2011,9.57,--,--
25/May/2011,9.56,--,--
24/May/2011,9.59,--,--
23/May/2011,9.63,--,--
20/May/2011,9.71,--,--
19/May/2011,9.69,--,--
18/May/2011,9.62,--,--
17/May/2011,9.60,--,--
16/May/2011,9.70,--,--
13/May/2011,9.81,--,--
12/May/2011,9.78,--,--
11/May/2011,9.86,--,--
10/May/2011,9.78,--,--
09/May/2011,9.77,--,--
06/May/2011,9.63,--,--
05/May/2011,9.50,--,--
04/May/2011,9.36,--,--
03/May/2011,9.56,--,--
02/May/2011,9.63,--,--
29/Apr/2011,9.56,0.01,0.10
28/Apr/2011,9.55,--,--
27/Apr/2011,9.59,--,--
26/Apr/2011,9.56,--,--
21/Apr/2011,9.58,--,--
20/Apr/2011,9.47,--,--
19/Apr/2011,9.35,--,--
18/Apr/2011,9.30,--,--
15/Apr/2011,9.34,--,--
14/Apr/2011,9.30,--,--
13/Apr/2011,9.31,--,--
12/Apr/2011,9.23,--,--
11/Apr/2011,9.40,--,--
08/Apr/2011,9.44,--,--
07/Apr/2011,9.55,--,--
06/Apr/2011,9.62,--,--
05/Apr/2011,9.68,--,--
04/Apr/2011,9.66,--,--
01/Apr/2011,9.76,--,--
31/Mar/2011,9.65,-0.02,-0.21
30/Mar/2011,9.67,--,--
29/Mar/2011,9.50,--,--
28/Mar/2011,9.50,--,--
25/Mar/2011,9.52,--,--
24/Mar/2011,9.31,--,--
23/Mar/2011,9.15,--,--
22/Mar/2011,9.21,--,--
21/Mar/2011,9.21,--,--
18/Mar/2011,9.03,--,--
17/Mar/2011,9.15,--,--
16/Mar/2011,9.17,--,--
15/Mar/2011,9.08,--,--
14/Mar/2011,9.29,--,--
11/Mar/2011,9.45,--,--
10/Mar/2011,9.48,--,--
09/Mar/2011,9.66,--,--
08/Mar/2011,9.69,--,--
07/Mar/2011,9.74,--,--
04/Mar/2011,9.80,--,--
03/Mar/2011,9.76,--,--
02/Mar/2011,9.69,--,--
01/Mar/2011,9.82,--,--
28/Feb/2011,9.84,0.04,0.41
25/Feb/2011,9.80,--,--
24/Feb/2011,9.68,--,--
23/Feb/2011,9.70,--,--
22/Feb/2011,9.98,--,--
21/Feb/2011,10.14,--,--
18/Feb/2011,10.18,--,--
17/Feb/2011,10.18,--,--
16/Feb/2011,10.22,--,--
15/Feb/2011,10.19,--,--
14/Feb/2011,10.26,--,--
11/Feb/2011,10.06,--,--
10/Feb/2011,9.97,--,--
09/Feb/2011,10.02,--,--
08/Feb/2011,10.08,--,--
07/Feb/2011,10.17,--,--
04/Feb/2011,10.05,--,--
03/Feb/2011,9.93,--,--
02/Feb/2011,9.84,--,--
01/Feb/2011,9.81,--,--
31/Jan/2011,9.62,-0.21,-2.14
28/Jan/2011,9.83,--,--
27/Jan/2011,9.82,--,--
26/Jan/2011,9.79,--,--
25/Jan/2011,9.75,--,--
24/Jan/2011,9.66,--,--
21/Jan/2011,9.82,--,--
20/Jan/2011,9.84,--,--
19/Jan/2011,10.03,--,--
18/Jan/2011,10.07,--,--
17/Jan/2011,10.15,--,--
14/Jan/2011,10.02,--,--
13/Jan/2011,10.00,--,--
12/Jan/2011,10.20,--,--
11/Jan/2011,10.22,--,--
10/Jan/2011,10.09,--,--
07/Jan/2011,10.10,--,--
06/Jan/2011,10.00,--,--
05/Jan/2011,9.83,--,--
04/Jan/2011,9.85,--,--
03/Jan/2011,9.89,--,--
31/Dec/2010,9.70,-0.10,-1.02
30/Dec/2010,9.80,--,--
29/Dec/2010,9.91,--,--
28/Dec/2010,9.91,--,--
27/Dec/2010,9.83,--,--
23/Dec/2010,10.03,--,--
22/Dec/2010,9.99,--,--
21/Dec/2010,9.95,--,--
20/Dec/2010,9.83,--,--
17/Dec/2010,9.78,--,--
16/Dec/2010,9.65,--,--
15/Dec/2010,9.61,--,--
14/Dec/2010,9.66,--,--
13/Dec/2010,9.71,--,--
10/Dec/2010,9.75,--,--
09/Dec/2010,9.74,--,--
08/Dec/2010,9.69,--,--
07/Dec/2010,9.64,--,--
06/Dec/2010,9.62,--,--
03/Dec/2010,9.54,--,--
02/Dec/2010,9.50,--,--
01/Dec/2010,9.42,--,--
30/Nov/2010,9.28,0.03,0.32
29/Nov/2010,9.25,--,--
26/Nov/2010,9.24,--,--
25/Nov/2010,9.22,--,--
24/Nov/2010,9.12,--,--
23/Nov/2010,9.00,--,--
22/Nov/2010,8.98,--,--
19/Nov/2010,8.86,--,--
18/Nov/2010,8.87,--,--
17/Nov/2010,8.78,--,--
16/Nov/2010,8.82,--,--
15/Nov/2010,8.85,--,--
12/Nov/2010,8.80,--,--
11/Nov/2010,8.84,--,--
10/Nov/2010,8.94,--,--
09/Nov/2010,8.96,--,--
08/Nov/2010,8.90,--,--
05/Nov/2010,8.80,--,--
04/Nov/2010,8.71,--,--
03/Nov/2010,8.68,--,--
02/Nov/2010,8.63,--,--
29/Oct/2010,8.66,-0.02,-0.23
28/Oct/2010,8.68,--,--
27/Oct/2010,8.68,--,--
26/Oct/2010,8.63,--,--
25/Oct/2010,8.63,--,--
22/Oct/2010,8.54,--,--
21/Oct/2010,8.49,--,--
20/Oct/2010,8.46,--,--
19/Oct/2010,8.47,--,--
18/Oct/2010,8.53,--,--
15/Oct/2010,8.43,--,--
14/Oct/2010,8.39,--,--
13/Oct/2010,8.44,--,--
12/Oct/2010,8.30,--,--
11/Oct/2010,8.29,--,--
08/Oct/2010,8.24,--,--
07/Oct/2010,8.28,--,--
06/Oct/2010,8.36,--,--
05/Oct/2010,8.38,--,--
04/Oct/2010,8.40,--,--
01/Oct/2010,8.42,--,--
30/Sept/2010,8.51,0.03,0.35
29/Sept/2010,8.48,--,--
28/Sept/2010,8.45,--,--
27/Sept/2010,8.50,--,--
24/Sept/2010,8.47,--,--
23/Sept/2010,8.44,--,--
22/Sept/2010,8.44,--,--
21/Sept/2010,8.67,--,--
20/Sept/2010,8.68,--,--
17/Sept/2010,8.63,--,--
16/Sept/2010,8.60,--,--
15/Sept/2010,8.61,--,--
14/Sept/2010,8.66,--,--
13/Sept/2010,8.64,--,--
10/Sept/2010,8.59,--,--
09/Sept/2010,8.62,--,--
08/Sept/2010,8.56,--,--
07/Sept/2010,8.56,--,--
06/Sept/2010,8.56,--,--
03/Sept/2010,8.54,--,--
02/Sept/2010,8.39,--,--
01/Sept/2010,8.27,--,--
31/Aug/2010,8.20,-0.17,-2.03
30/Aug/2010,8.37,--,--
27/Aug/2010,8.23,--,--
26/Aug/2010,8.35,--,--
25/Aug/2010,8.27,--,--
24/Aug/2010,8.38,--,--
23/Aug/2010,8.54,--,--
20/Aug/2010,8.50,--,--
19/Aug/2010,8.46,--,--
18/Aug/2010,8.44,--,--
17/Aug/2010,8.40,--,--
16/Aug/2010,8.35,--,--
13/Aug/2010,8.38,--,--
12/Aug/2010,8.35,--,--
11/Aug/2010,8.41,--,--
10/Aug/2010,8.51,--,--
09/Aug/2010,8.53,--,--
06/Aug/2010,8.53,--,--
05/Aug/2010,8.65,--,--
04/Aug/2010,8.61,--,--
03/Aug/2010,8.61,--,--
02/Aug/2010,8.60,--,--
30/Jul/2010,8.53,-0.13,-1.50
29/Jul/2010,8.66,--,--
28/Jul/2010,8.78,--,--
27/Jul/2010,8.82,--,--
26/Jul/2010,8.78,--,--
23/Jul/2010,8.74,--,--
22/Jul/2010,8.64,--,--
21/Jul/2010,8.67,--,--
20/Jul/2010,8.46,--,--
19/Jul/2010,8.52,--,--
16/Jul/2010,8.58,--,--
15/Jul/2010,8.75,--,--
14/Jul/2010,8.89,--,--
13/Jul/2010,8.75,--,--
12/Jul/2010,8.79,--,--
09/Jul/2010,8.65,--,--
08/Jul/2010,8.59,--,--
07/Jul/2010,8.38,--,--
06/Jul/2010,8.39,--,--
05/Jul/2010,8.25,--,--
02/Jul/2010,8.24,--,--
01/Jul/2010,8.36,--,--
30/Jun/2010,8.60,-0.14,-1.60
29/Jun/2010,8.74,--,--
28/Jun/2010,8.81,--,--
25/Jun/2010,8.87,--,--
24/Jun/2010,8.95,--,--
22/Jun/2010,9.22,--,--
21/Jun/2010,9.27,--,--
18/Jun/2010,9.14,--,--
17/Jun/2010,9.12,--,--
16/Jun/2010,9.10,--,--
15/Jun/2010,9.02,--,--
14/Jun/2010,9.01,--,--
11/Jun/2010,8.94,--,--
10/Jun/2010,8.85,--,--
09/Jun/2010,8.80,--,--
08/Jun/2010,8.80,--,--
07/Jun/2010,9.04,--,--
04/Jun/2010,9.14,--,--
03/Jun/2010,9.06,--,--
02/Jun/2010,8.84,--,--
01/Jun/2010,8.86,--,--
31/May/2010,8.83,-0.04,-0.45
28/May/2010,8.87,--,--
27/May/2010,8.86,--,--
26/May/2010,8.77,--,--
25/May/2010,8.48,--,--
21/May/2010,8.50,--,--
20/May/2010,8.74,--,--
19/May/2010,9.01,--,--
18/May/2010,9.14,--,--
17/May/2010,9.10,--,--
14/May/2010,9.13,--,--
12/May/2010,9.17,--,--
11/May/2010,9.01,--,--
10/May/2010,8.95,--,--
07/May/2010,8.79,--,--
06/May/2010,9.10,--,--
05/May/2010,9.04,--,--
04/May/2010,9.11,--,--
03/May/2010,9.09,--,--
30/Apr/2010,9.11,-0.01,-0.11
29/Apr/2010,9.12,--,--
28/Apr/2010,9.10,--,--
27/Apr/2010,9.21,--,--
26/Apr/2010,9.26,--,--
23/Apr/2010,9.22,--,--
22/Apr/2010,9.09,--,--
21/Apr/2010,9.12,--,--
20/Apr/2010,8.96,--,--
19/Apr/2010,8.93,--,--
16/Apr/2010,8.97,--,--
15/Apr/2010,8.97,--,--
14/Apr/2010,8.87,--,--
13/Apr/2010,8.79,--,--
12/Apr/2010,8.75,--,--
09/Apr/2010,8.81,--,--
08/Apr/2010,8.81,--,--
07/Apr/2010,8.88,--,--
06/Apr/2010,8.85,--,--
01/Apr/2010,8.73,--,--
31/Mar/2010,8.62,-0.09,-1.03
30/Mar/2010,8.71,--,--
29/Mar/2010,8.69,--,--
26/Mar/2010,8.70,--,--
25/Mar/2010,8.72,--,--
24/Mar/2010,8.69,--,--
23/Mar/2010,8.54,--,--
22/Mar/2010,8.55,--,--
19/Mar/2010,8.48,--,--
18/Mar/2010,8.45,--,--
17/Mar/2010,8.41,--,--
16/Mar/2010,8.28,--,--
15/Mar/2010,8.24,--,--
12/Mar/2010,8.29,--,--
11/Mar/2010,8.29,--,--
10/Mar/2010,8.29,--,--
09/Mar/2010,8.25,--,--
08/Mar/2010,8.20,--,--
05/Mar/2010,8.19,--,--
04/Mar/2010,8.06,--,--
03/Mar/2010,8.07,--,--
02/Mar/2010,8.13,--,--
01/Mar/2010,8.02,--,--
26/Feb/2010,7.88,0.03,0.38
25/Feb/2010,7.85,--,--
24/Feb/2010,7.93,--,--
23/Feb/2010,7.97,--,--
22/Feb/2010,7.97,--,--
