As Of,NAV per Share,Daily NAV Change,Daily NAV Change %
16/Apr/2015,17.18,-0.13,-0.75
15/Apr/2015,17.31,0.03,0.17
14/Apr/2015,17.28,-0.32,-1.82
13/Apr/2015,17.60,0.13,0.74
10/Apr/2015,17.47,0.27,1.57
09/Apr/2015,17.20,0.17,1.00
08/Apr/2015,17.03,0.08,0.47
07/Apr/2015,16.95,0.21,1.25
02/Apr/2015,16.74,-0.06,-0.36
01/Apr/2015,16.80,-0.22,-1.29
31/Mar/2015,17.02,0.14,0.83
30/Mar/2015,16.88,0.27,1.63
27/Mar/2015,16.61,0.10,0.61
26/Mar/2015,16.51,-0.32,-1.90
25/Mar/2015,16.83,-0.28,-1.64
24/Mar/2015,17.11,0.03,0.18
23/Mar/2015,17.08,-0.16,-0.93
20/Mar/2015,17.24,-0.15,-0.86
19/Mar/2015,17.39,0.11,0.64
18/Mar/2015,17.28,0.08,0.47
17/Mar/2015,17.20,-0.02,-0.12
16/Mar/2015,17.22,0.02,0.12
13/Mar/2015,17.20,0.21,1.24
12/Mar/2015,16.99,-0.03,-0.18
11/Mar/2015,17.02,0.20,1.19
10/Mar/2015,16.82,-0.02,-0.12
09/Mar/2015,16.84,-0.19,-1.12
06/Mar/2015,17.03,0.32,1.92
05/Mar/2015,16.71,0.13,0.78
04/Mar/2015,16.58,0.01,0.06
03/Mar/2015,16.57,0.07,0.42
02/Mar/2015,16.50,-0.01,-0.06
27/Feb/2015,16.51,0.08,0.49
26/Feb/2015,16.43,0.15,0.92
25/Feb/2015,16.28,0.07,0.43
24/Feb/2015,16.21,0.08,0.50
23/Feb/2015,16.13,0.04,0.25
20/Feb/2015,16.09,0.12,0.75
19/Feb/2015,15.97,0.02,0.13
18/Feb/2015,15.95,0.11,0.69
17/Feb/2015,15.84,-0.08,-0.50
16/Feb/2015,15.92,0.00,0.00
13/Feb/2015,15.92,0.20,1.27
12/Feb/2015,15.72,-0.06,-0.38
11/Feb/2015,15.78,0.11,0.70
10/Feb/2015,15.67,0.08,0.51
09/Feb/2015,15.59,-0.07,-0.45
06/Feb/2015,15.66,0.12,0.77
05/Feb/2015,15.54,0.00,0.00
04/Feb/2015,15.54,0.19,1.24
03/Feb/2015,15.35,0.09,0.59
02/Feb/2015,15.26,-0.28,-1.80
30/Jan/2015,15.54,0.16,1.04
29/Jan/2015,15.38,-0.30,-1.91
28/Jan/2015,15.68,0.23,1.49
27/Jan/2015,15.45,-0.23,-1.47
26/Jan/2015,15.68,-0.09,-0.57
23/Jan/2015,15.77,0.61,4.02
22/Jan/2015,15.16,0.29,1.95
21/Jan/2015,14.87,0.13,0.88
20/Jan/2015,14.74,0.00,0.00
19/Jan/2015,14.74,0.06,0.41
16/Jan/2015,14.68,0.05,0.34
15/Jan/2015,14.63,0.09,0.62
14/Jan/2015,14.54,-0.21,-1.42
13/Jan/2015,14.75,0.25,1.72
12/Jan/2015,14.50,-0.05,-0.34
09/Jan/2015,14.55,0.10,0.69
08/Jan/2015,14.45,0.23,1.62
07/Jan/2015,14.22,0.03,0.21
06/Jan/2015,14.19,-0.18,-1.25
05/Jan/2015,14.37,-0.11,-0.76
02/Jan/2015,14.48,0.01,0.07
31/Dec/2014,14.47,0.03,0.21
30/Dec/2014,14.44,0.01,0.07
29/Dec/2014,14.43,--,--
23/Dec/2014,14.42,0.17,1.19
22/Dec/2014,14.25,0.12,0.85
19/Dec/2014,14.13,0.18,1.29
18/Dec/2014,13.95,0.48,3.56
17/Dec/2014,13.47,0.00,0.00
16/Dec/2014,13.47,-0.31,-2.25
15/Dec/2014,13.78,-0.10,-0.72
12/Dec/2014,13.88,-0.18,-1.28
11/Dec/2014,14.06,-0.05,-0.35
10/Dec/2014,14.11,0.09,0.64
09/Dec/2014,14.02,-0.36,-2.50
08/Dec/2014,14.38,-0.02,-0.14
