As Of,NAV per Share,Daily NAV Change,Daily NAV Change %
05-Jul-16,15.59,-0.14,-0.89
04-Jul-16,15.73,-0.03,-0.19
01-Jul-16,15.76,0.10,0.64
30-Jun-16,15.66,0.17,1.10
29-Jun-16,15.49,0.22,1.44
28-Jun-16,15.27,0.02,0.13
27-Jun-16,15.25,-0.35,-2.24
24-Jun-16,15.60,0.01,0.06
22-Jun-16,15.59,-0.14,-0.89
21-Jun-16,15.73,0.19,1.22
20-Jun-16,15.54,0.13,0.84
17-Jun-16,15.41,-0.11,-0.71
16-Jun-16,15.52,-0.10,-0.64
15-Jun-16,15.62,0.01,0.06
14-Jun-16,15.61,0.02,0.13
13-Jun-16,15.59,-0.07,-0.45
10-Jun-16,15.66,-0.10,-0.63
09-Jun-16,15.76,0.05,0.32
08-Jun-16,15.71,-0.03,-0.19
07-Jun-16,15.74,0.09,0.58
06-Jun-16,15.65,0.07,0.45
03-Jun-16,15.58,-0.19,-1.20
02-Jun-16,15.77,-0.05,-0.32
01-Jun-16,15.82,0.09,0.57
31-May-16,15.73,-0.02,-0.13
30-May-16,15.75,0.05,0.32
27-May-16,15.70,0.16,1.03
26-May-16,15.54,-0.06,-0.38
25-May-16,15.60,0.25,1.63
24-May-16,15.35,0.12,0.79
23-May-16,15.23,0.18,1.20
20-May-16,15.05,0.17,1.14
19-May-16,14.88,-0.01,-0.07
18-May-16,14.89,0.08,0.54
17-May-16,14.81,0.11,0.75
13-May-16,14.70,0.08,0.55
12-May-16,14.62,-0.04,-0.27
11-May-16,14.66,0.10,0.69
10-May-16,14.56,-0.01,-0.07
09-May-16,14.57,0.18,1.25
06-May-16,14.39,-0.01,-0.07
04-May-16,14.40,-0.07,-0.48
03-May-16,14.47,-0.07,-0.48
02-May-16,14.54,-0.18,-1.22
29-Apr-16,14.72,-0.48,-3.16
28-Apr-16,15.20,-0.04,-0.26
27-Apr-16,15.24,-0.18,-1.17
26-Apr-16,15.42,-0.03,-0.19
25-Apr-16,15.45,-0.09,-0.58
22-Apr-16,15.54,0.05,0.32
21-Apr-16,15.49,0.15,0.98
20-Apr-16,15.34,0.01,0.07
19-Apr-16,15.33,0.09,0.59
18-Apr-16,15.24,-0.18,-1.17
15-Apr-16,15.42,0.00,0.00
14-Apr-16,15.42,0.00,0.00
13-Apr-16,15.42,0.38,2.53
12-Apr-16,15.04,-0.10,-0.66
11-Apr-16,15.14,-0.01,-0.07
08-Apr-16,15.15,-0.01,-0.07
07-Apr-16,15.16,0.12,0.80
06-Apr-16,15.04,-0.13,-0.86
05-Apr-16,15.17,-0.16,-1.04
04-Apr-16,15.33,0.11,0.72
01-Apr-16,15.22,-0.07,-0.46
31-Mar-16,15.29,-0.16,-1.04
30-Mar-16,15.45,0.21,1.38
29-Mar-16,15.24,-0.02,-0.13
24-Mar-16,15.26,-0.11,-0.72
23-Mar-16,15.37,-0.05,-0.32
22-Mar-16,15.42,0.11,0.72
21-Mar-16,15.31,0.01,0.07
18-Mar-16,15.30,0.17,1.12
17-Mar-16,15.13,-0.16,-1.05
16-Mar-16,15.29,0.01,0.07
15-Mar-16,15.28,-0.10,-0.65
14-Mar-16,15.38,0.18,1.18
11-Mar-16,15.20,-0.07,-0.46
10-Mar-16,15.27,0.10,0.66
09-Mar-16,15.17,-0.01,-0.07
08-Mar-16,15.18,-0.16,-1.04
07-Mar-16,15.34,0.12,0.79
04-Mar-16,15.22,-0.14,-0.91
03-Mar-16,15.36,-0.03,-0.19
02-Mar-16,15.39,0.29,1.92
01-Mar-16,15.10,0.17,1.14
29-Feb-16,14.93,0.05,0.34
26-Feb-16,14.88,0.28,1.92
25-Feb-16,14.60,0.30,2.10
24-Feb-16,14.30,-0.33,-2.26
23-Feb-16,14.63,-0.06,-0.41
22-Feb-16,14.69,0.37,2.58
19-Feb-16,14.32,-0.18,-1.24
18-Feb-16,14.50,0.32,2.26
17-Feb-16,14.18,0.28,2.01
16-Feb-16,13.90,0.19,1.39
15-Feb-16,13.71,0.50,3.79
12-Feb-16,13.21,-0.11,-0.83
11-Feb-16,13.32,-0.36,-2.63
10-Feb-16,13.68,0.12,0.88
09-Feb-16,13.56,-0.32,-2.31
08-Feb-16,13.88,-0.48,-3.34
05-Feb-16,14.36,-0.20,-1.37
04-Feb-16,14.56,-0.29,-1.95
03-Feb-16,14.85,-0.26,-1.72
02-Feb-16,15.11,-0.19,-1.24
01-Feb-16,15.30,0.14,0.92
29-Jan-16,15.16,0.22,1.47
28-Jan-16,14.94,-0.12,-0.80
27-Jan-16,15.06,0.01,0.07
26-Jan-16,15.05,-0.19,-1.25
25-Jan-16,15.24,-0.03,-0.20
22-Jan-16,15.27,0.49,3.32
21-Jan-16,14.78,0.17,1.16
20-Jan-16,14.61,-0.47,-3.12
19-Jan-16,15.08,0.16,1.07
18-Jan-16,14.92,0.06,0.40
15-Jan-16,14.86,-0.01,-0.07
14-Jan-16,14.87,-0.62,-4.00
13-Jan-16,15.49,0.07,0.45
12-Jan-16,15.42,0.16,1.05
11-Jan-16,15.26,-0.33,-2.12
08-Jan-16,15.59,-0.09,-0.57
07-Jan-16,15.68,-0.51,-3.15
06-Jan-16,16.19,-0.28,-1.70
05-Jan-16,16.47,0.18,1.10
04-Jan-16,16.29,-0.48,-2.86
31-Dec-15,16.77,-0.08,-0.47
30-Dec-15,16.85,0.03,0.18
29-Dec-15,16.82,0.19,1.14
28-Dec-15,16.63,-0.11,-0.66
23-Dec-15,16.74,0.30,1.82
22-Dec-15,16.44,-0.10,-0.60
21-Dec-15,16.54,-0.20,-1.19
18-Dec-15,16.74,-0.30,-1.76
17-Dec-15,17.04,0.22,1.31
16-Dec-15,16.82,0.16,0.96
15-Dec-15,16.66,0.25,1.52
14-Dec-15,16.41,-0.18,-1.08
11-Dec-15,16.59,-0.26,-1.54
10-Dec-15,16.85,-0.20,-1.17
09-Dec-15,17.05,-0.06,-0.35
08-Dec-15,17.11,-0.34,-1.95
07-Dec-15,17.45,0.28,1.63
04-Dec-15,17.17,-0.30,-1.72
03-Dec-15,17.47,-0.50,-2.78
02-Dec-15,17.97,0.09,0.50
01-Dec-15,17.88,0.08,0.45
30-Nov-15,17.80,-0.03,-0.17
27-Nov-15,17.83,0.02,0.11
26-Nov-15,17.81,-0.02,-0.11
25-Nov-15,17.83,0.12,0.68
24-Nov-15,17.71,-0.09,-0.51
23-Nov-15,17.80,0.01,0.06
20-Nov-15,17.79,0.21,1.19
19-Nov-15,17.58,0.25,1.44
18-Nov-15,17.33,0.06,0.35
17-Nov-15,17.27,0.29,1.71
16-Nov-15,16.98,-0.16,-0.93
13-Nov-15,17.14,-0.11,-0.64
12-Nov-15,17.25,-0.03,-0.17
