As Of,NAV per Share,Daily NAV Change,Daily NAV Change %
21-May-14,11.47,0.09,0.79
20-May-14,11.38,0.03,0.26
19-May-14,11.35,0.08,0.71
16-May-14,11.27,-0.02,-0.18
15-May-14,11.29,-0.10,-0.88
14-May-14,11.39,-0.05,-0.44
13-May-14,11.44,0.07,0.62
12-May-14,11.37,0.20,1.79
09-May-14,11.17,-0.01,-0.09
08-May-14,11.18,0.13,1.18
07-May-14,11.05,-0.28,-2.47
06-May-14,11.33,0.00,0.00
05-May-14,11.33,-0.06,-0.53
02-May-14,11.39,0.19,1.70
30-Apr-14,11.20,-0.04,-0.36
29-Apr-14,11.24,-0.04,-0.35
28-Apr-14,11.28,-0.10,-0.88
25-Apr-14,11.38,-0.11,-0.96
24-Apr-14,11.49,-0.06,-0.52
23-Apr-14,11.55,-0.02,-0.17
22-Apr-14,11.57,0.14,1.22
17-Apr-14,11.43,0.09,0.79
16-Apr-14,11.34,0.00,0.00
15-Apr-14,11.34,0.13,1.16
14-Apr-14,11.21,-0.11,-0.97
11-Apr-14,11.32,-0.29,-2.50
10-Apr-14,11.61,0.05,0.43
09-Apr-14,11.56,0.08,0.70
08-Apr-14,11.48,-0.19,-1.63
07-Apr-14,11.67,-0.34,-2.83
04-Apr-14,12.01,-0.17,-1.40
03-Apr-14,12.18,0.10,0.83
02-Apr-14,12.08,0.13,1.09
01-Apr-14,11.95,0.19,1.62
31-Mar-14,11.76,-0.06,-0.51
28-Mar-14,11.82,0.11,0.94
27-Mar-14,11.71,-0.08,-0.68
26-Mar-14,11.79,0.03,0.26
25-Mar-14,11.76,0.04,0.34
24-Mar-14,11.72,-0.20,-1.68
21-Mar-14,11.92,-0.04,-0.33
20-Mar-14,11.96,0.06,0.50
19-Mar-14,11.90,-0.02,-0.17
18-Mar-14,11.92,0.13,1.10
17-Mar-14,11.79,0.09,0.77
14-Mar-14,11.70,-0.17,-1.43
13-Mar-14,11.87,-0.06,-0.50
12-Mar-14,11.93,-0.16,-1.32
11-Mar-14,12.09,0.07,0.58
10-Mar-14,12.02,-0.17,-1.39
07-Mar-14,12.19,-0.03,-0.25
06-Mar-14,12.22,-0.03,-0.24
05-Mar-14,12.25,0.11,0.91
04-Mar-14,12.14,0.18,1.51
03-Mar-14,11.96,-0.22,-1.81
28-Feb-14,12.18,0.09,0.74
27-Feb-14,12.09,0.04,0.33
26-Feb-14,12.05,0.12,1.01
25-Feb-14,11.93,-0.06,-0.50
24-Feb-14,11.99,0.05,0.42
21-Feb-14,11.94,0.14,1.19
20-Feb-14,11.80,-0.07,-0.59
19-Feb-14,11.87,0.02,0.17
18-Feb-14,11.85,0.01,0.08
17-Feb-14,11.84,0.06,0.51
14-Feb-14,11.78,0.05,0.43
13-Feb-14,11.73,-0.18,-1.51
12-Feb-14,11.91,0.29,2.50
11-Feb-14,11.62,0.16,1.40
10-Feb-14,11.46,0.07,0.61
07-Feb-14,11.39,0.17,1.52
06-Feb-14,11.22,0.06,0.54
05-Feb-14,11.16,-0.07,-0.62
04-Feb-14,11.23,-0.29,-2.52
03-Feb-14,11.52,-0.03,-0.26
31-Jan-14,11.55,0.07,0.61
30-Jan-14,11.48,0.05,0.44
29-Jan-14,11.43,0.03,0.26
28-Jan-14,11.40,-0.03,-0.26
27-Jan-14,11.43,-0.18,-1.55
24-Jan-14,11.61,-0.17,-1.44
23-Jan-14,11.78,-0.16,-1.34
22-Jan-14,11.94,-0.01,-0.08
21-Jan-14,11.95,0.06,0.50
20-Jan-14,11.89,-0.02,-0.17
17-Jan-14,11.91,0.08,0.68
16-Jan-14,11.83,-0.03,-0.25
15-Jan-14,11.86,0.22,1.89
14-Jan-14,11.64,-0.17,-1.44
13-Jan-14,11.81,0.04,0.34
10-Jan-14,11.77,-0.15,-1.26
09-Jan-14,11.92,0.08,0.68
08-Jan-14,11.84,0.06,0.51
07-Jan-14,11.78,0.00,0.00
06-Jan-14,11.78,-0.06,-0.51
03-Jan-14,11.84,0.05,0.42
02-Jan-14,11.79,0.01,0.08
31-Dec-13,11.78,0.10,0.86
30-Dec-13,11.68,-0.03,-0.26
27-Dec-13,11.71,0.06,0.52
23-Dec-13,11.65,0.12,1.04
20-Dec-13,11.53,0.05,0.44
19-Dec-13,11.48,0.22,1.95
18-Dec-13,11.26,0.01,0.09
17-Dec-13,11.25,0.04,0.36
16-Dec-13,11.21,0.02,0.18
13-Dec-13,11.19,0.03,0.27
12-Dec-13,11.16,-0.18,-1.59
11-Dec-13,11.34,-0.02,-0.18
10-Dec-13,11.36,-0.10,-0.87
09-Dec-13,11.46,0.05,0.44
06-Dec-13,11.41,0.01,0.09
05-Dec-13,11.40,-0.08,-0.70
04-Dec-13,11.48,-0.06,-0.52
03-Dec-13,11.54,-0.07,-0.60
02-Dec-13,11.61,0.00,0.00
29-Nov-13,11.61,0.02,0.17
28-Nov-13,11.59,0.04,0.35
27-Nov-13,11.55,-0.03,-0.26
26-Nov-13,11.58,0.00,0.00
25-Nov-13,11.58,0.03,0.26
22-Nov-13,11.55,0.08,0.70
21-Nov-13,11.47,0.04,0.35
20-Nov-13,11.43,-0.13,-1.12
19-Nov-13,11.56,-0.04,-0.34
18-Nov-13,11.60,0.06,0.52
15-Nov-13,11.54,0.04,0.35
14-Nov-13,11.50,0.09,0.79
13-Nov-13,11.41,-0.03,-0.26
12-Nov-13,11.44,0.01,0.09
11-Nov-13,11.43,0.00,0.00
08-Nov-13,11.43,-0.20,-1.72
07-Nov-13,11.63,0.13,1.13
06-Nov-13,11.50,-0.06,-0.52
05-Nov-13,11.56,-0.01,-0.09
04-Nov-13,11.57,0.15,1.31
31-Oct-13,11.42,0.06,0.53
30-Oct-13,11.36,0.05,0.44
29-Oct-13,11.31,0.01,0.09
28-Oct-13,11.30,-0.05,-0.44
25-Oct-13,11.35,-0.01,-0.09
24-Oct-13,11.36,0.03,0.26
23-Oct-13,11.33,-0.20,-1.73
22-Oct-13,11.53,-0.07,-0.60
21-Oct-13,11.60,0.06,0.52
18-Oct-13,11.54,0.16,1.41
17-Oct-13,11.38,-0.10,-0.87
16-Oct-13,11.48,-0.03,-0.26
15-Oct-13,11.51,0.16,1.41
14-Oct-13,11.35,-0.02,-0.18
11-Oct-13,11.37,0.10,0.89
10-Oct-13,11.27,0.14,1.26
09-Oct-13,11.13,-0.16,-1.42
08-Oct-13,11.29,-0.08,-0.70
07-Oct-13,11.37,0.01,0.09
04-Oct-13,11.36,0.05,0.44
03-Oct-13,11.31,-0.02,-0.18
02-Oct-13,11.33,0.00,0.00
01-Oct-13,11.33,0.09,0.80
30-Sep-13,11.24,-0.03,-0.27
27-Sep-13,11.27,-0.09,-0.79
26-Sep-13,11.36,0.06,0.53
25-Sep-13,11.30,0.02,0.18
24-Sep-13,11.28,-0.06,-0.53
23-Sep-13,11.34,-0.04,-0.35
20-Sep-13,11.38,0.02,0.18
19-Sep-13,11.36,-0.06,-0.53
18-Sep-13,11.42,0.05,0.44
17-Sep-13,11.37,-0.05,-0.44
16-Sep-13,11.42,0.01,0.09
13-Sep-13,11.41,-0.05,-0.44
12-Sep-13,11.46,0.04,0.35
11-Sep-13,11.42,-0.04,-0.35
10-Sep-13,11.46,0.13,1.15
09-Sep-13,11.33,0.10,0.89
06-Sep-13,11.23,-0.03,-0.27
05-Sep-13,11.26,0.08,0.72
04-Sep-13,11.18,0.02,0.18
03-Sep-13,11.16,0.13,1.18
02-Sep-13,11.03,-0.02,-0.18
30-Aug-13,11.05,0.07,0.64
29-Aug-13,10.98,0.15,1.39
28-Aug-13,10.83,-0.02,-0.18
27-Aug-13,10.85,-0.11,-1.00
26-Aug-13,10.96,0.00,0.00
23-Aug-13,10.96,0.03,0.27
22-Aug-13,10.93,0.08,0.74
21-Aug-13,10.85,0.03,0.28
20-Aug-13,10.82,-0.13,-1.19
19-Aug-13,10.95,0.05,0.46
16-Aug-13,10.90,-0.24,-2.15
14-Aug-13,11.14,0.08,0.72
13-Aug-13,11.06,0.10,0.91
12-Aug-13,10.96,0.09,0.83
09-Aug-13,10.87,0.06,0.56
08-Aug-13,10.81,0.06,0.56
07-Aug-13,10.75,-0.21,-1.92
06-Aug-13,10.96,-0.06,-0.54
05-Aug-13,11.02,0.03,0.27
02-Aug-13,10.99,0.05,0.46
01-Aug-13,10.94,0.08,0.74
31-Jul-13,10.86,0.03,0.28
30-Jul-13,10.83,0.03,0.28
29-Jul-13,10.80,0.01,0.09
26-Jul-13,10.79,-0.06,-0.55
25-Jul-13,10.85,0.06,0.56
24-Jul-13,10.79,0.01,0.09
23-Jul-13,10.78,0.13,1.22
22-Jul-13,10.65,-0.03,-0.28
19-Jul-13,10.68,-0.15,-1.39
18-Jul-13,10.83,0.01,0.09
17-Jul-13,10.82,-0.03,-0.28
16-Jul-13,10.85,-0.05,-0.46
15-Jul-13,10.90,-0.02,-0.18
12-Jul-13,10.92,0.08,0.74
11-Jul-13,10.84,0.05,0.46
10-Jul-13,10.79,0.06,0.56
09-Jul-13,10.73,0.07,0.66
08-Jul-13,10.66,0.00,0.00
05-Jul-13,10.66,0.09,0.85
04-Jul-13,10.57,0.12,1.15
03-Jul-13,10.45,-0.06,-0.57
02-Jul-13,10.51,0.04,0.38
01-Jul-13,10.47,0.07,0.67
28-Jun-13,10.40,0.05,0.48
27-Jun-13,10.35,0.11,1.07
26-Jun-13,10.24,0.16,1.59
25-Jun-13,10.08,0.09,0.90
24-Jun-13,9.99,-0.16,-1.58
21-Jun-13,10.15,-0.08,-0.78
20-Jun-13,10.23,-0.12,-1.16
19-Jun-13,10.35,0.05,0.49
18-Jun-13,10.30,0.01,0.10
17-Jun-13,10.29,0.05,0.49
14-Jun-13,10.24,0.10,0.99
13-Jun-13,10.14,-0.18,-1.74
12-Jun-13,10.32,-0.02,-0.19
11-Jun-13,10.34,-0.17,-1.62
10-Jun-13,10.51,0.11,1.06
07-Jun-13,10.40,-0.04,-0.38
06-Jun-13,10.44,-0.11,-1.04
05-Jun-13,10.55,-0.13,-1.22
04-Jun-13,10.68,-0.03,-0.28
03-Jun-13,10.71,-0.08,-0.74
31-May-13,10.79,0.10,0.94
30-May-13,10.69,0.00,0.00
29-May-13,10.69,-0.11,-1.02
28-May-13,10.80,0.17,1.60
27-May-13,10.63,0.00,0.00
24-May-13,10.63,0.00,0.00
23-May-13,10.63,-0.32,-2.92
22-May-13,10.95,-0.01,-0.09
21-May-13,10.96,0.11,1.01
17-May-13,10.85,0.02,0.18
16-May-13,10.83,0.08,0.74
15-May-13,10.75,0.09,0.84
14-May-13,10.66,0.05,0.47
13-May-13,10.61,-0.01,-0.09
10-May-13,10.62,0.09,0.85
08-May-13,10.53,-0.03,-0.28
07-May-13,10.56,0.11,1.05
06-May-13,10.45,0.08,0.77
03-May-13,10.37,0.11,1.07
02-May-13,10.26,0.04,0.39
30-Apr-13,10.22,0.00,0.00
29-Apr-13,10.22,-0.01,-0.10
26-Apr-13,10.23,0.01,0.10
25-Apr-13,10.22,0.07,0.69
24-Apr-13,10.15,0.08,0.79
23-Apr-13,10.07,0.16,1.61
22-Apr-13,9.91,0.08,0.81
19-Apr-13,9.83,-0.10,-1.01
18-Apr-13,9.93,-0.07,-0.70
17-Apr-13,10.00,0.00,0.00
16-Apr-13,10.00,-0.11,-1.09
15-Apr-13,10.11,-0.05,-0.49
12-Apr-13,10.16,-0.07,-0.68
11-Apr-13,10.23,0.10,0.99
10-Apr-13,10.13,0.10,1.00
09-Apr-13,10.03,0.00,0.00
08-Apr-13,10.03,0.01,0.10
05-Apr-13,10.02,-0.23,-2.24
04-Apr-13,10.25,-0.15,-1.44
03-Apr-13,10.40,-0.03,-0.29
02-Apr-13,10.43,0.02,0.19
28-Mar-13,10.41,0.04,0.39
27-Mar-13,10.37,0.02,0.19
26-Mar-13,10.35,0.04,0.39
25-Mar-13,10.31,0.10,0.98
22-Mar-13,10.21,-0.07,-0.68
21-Mar-13,10.28,-0.05,-0.48
20-Mar-13,10.33,-0.01,-0.10
19-Mar-13,10.34,0.03,0.29
18-Mar-13,10.31,-0.05,-0.48
15-Mar-13,10.36,-0.12,-1.15
14-Mar-13,10.48,0.02,0.19
13-Mar-13,10.46,0.07,0.67
12-Mar-13,10.39,-0.02,-0.19
11-Mar-13,10.41,0.01,0.10
08-Mar-13,10.40,0.07,0.68
07-Mar-13,10.33,-0.07,-0.67
06-Mar-13,10.40,0.16,1.56
05-Mar-13,10.24,0.15,1.49
04-Mar-13,10.09,0.04,0.40
01-Mar-13,10.05,-0.01,-0.10
28-Feb-13,10.06,0.12,1.21
27-Feb-13,9.94,0.05,0.51
26-Feb-13,9.89,-0.04,-0.40
25-Feb-13,9.93,-0.01,-0.10
22-Feb-13,9.94,0.07,0.71
21-Feb-13,9.87,-0.11,-1.10
20-Feb-13,9.98,0.03,0.30
19-Feb-13,9.95,0.04,0.40
18-Feb-13,9.91,-0.01,-0.10
15-Feb-13,9.92,0.06,0.61
14-Feb-13,9.86,0.06,0.61
13-Feb-13,9.80,0.01,0.10
06-Feb-13,9.79,0.02,0.20
05-Feb-13,9.77,-0.02,-0.20
04-Feb-13,9.79,0.08,0.82
01-Feb-13,9.71,-0.03,-0.31
31-Jan-13,9.74,-0.02,-0.20
30-Jan-13,9.76,0.01,0.10
29-Jan-13,9.75,-0.15,-1.52
28-Jan-13,9.90,-0.01,-0.10
25-Jan-13,9.91,-0.01,-0.10
24-Jan-13,9.92,0.04,0.40
23-Jan-13,9.88,0.00,0.00
22-Jan-13,9.88,-0.01,-0.10
21-Jan-13,9.89,-0.01,-0.10
18-Jan-13,9.90,0.09,0.92
17-Jan-13,9.81,0.01,0.10
16-Jan-13,9.80,0.03,0.31
15-Jan-13,9.77,-0.06,-0.61
14-Jan-13,9.83,0.02,0.20
11-Jan-13,9.81,-0.09,-0.91
10-Jan-13,9.90,0.02,0.20
09-Jan-13,9.88,0.07,0.71
08-Jan-13,9.81,-0.06,-0.61
07-Jan-13,9.87,-0.02,-0.20
04-Jan-13,9.89,-0.05,-0.50
03-Jan-13,9.94,0.06,0.61
02-Jan-13,9.88,0.31,3.24
31-Dec-12,9.57,0.01,0.10
28-Dec-12,9.56,-0.03,-0.31
27-Dec-12,9.59,-0.05,-0.52
21-Dec-12,9.64,0.01,0.10
20-Dec-12,9.63,-0.09,-0.93
19-Dec-12,9.72,0.06,0.62
18-Dec-12,9.66,0.09,0.94
17-Dec-12,9.57,-0.04,-0.42
14-Dec-12,9.61,-0.06,-0.62
13-Dec-12,9.67,-0.04,-0.41
12-Dec-12,9.71,0.02,0.21
11-Dec-12,9.69,0.05,0.52
10-Dec-12,9.64,0.05,0.52
07-Dec-12,9.59,0.08,0.84
06-Dec-12,9.51,0.08,0.85
05-Dec-12,9.43,-0.01,-0.11
04-Dec-12,9.44,-0.13,-1.36
03-Dec-12,9.57,-0.01,-0.10
30-Nov-12,9.58,0.00,0.00
29-Nov-12,9.58,0.14,1.48
28-Nov-12,9.44,-0.08,-0.84
27-Nov-12,9.52,0.04,0.42
26-Nov-12,9.48,0.03,0.32
23-Nov-12,9.45,0.03,0.32
22-Nov-12,9.42,0.01,0.11
21-Nov-12,9.41,0.02,0.21
20-Nov-12,9.39,0.02,0.21
19-Nov-12,9.37,0.13,1.41
16-Nov-12,9.24,0.01,0.11
15-Nov-12,9.23,-0.20,-2.12
14-Nov-12,9.43,-0.01,-0.11
13-Nov-12,9.44,-0.04,-0.42
12-Nov-12,9.48,0.03,0.32
09-Nov-12,9.45,-0.07,-0.74
08-Nov-12,9.52,-0.12,-1.24
07-Nov-12,9.64,0.00,0.00
06-Nov-12,9.64,0.13,1.37
05-Nov-12,9.51,-0.02,-0.21
02-Nov-12,9.53,0.26,2.80
31-Oct-12,9.27,-0.04,-0.43
26-Oct-12,9.31,0.00,0.00
25-Oct-12,9.31,-0.08,-0.85
24-Oct-12,9.39,0.08,0.86
23-Oct-12,9.31,-0.02,-0.21
22-Oct-12,9.33,-0.06,-0.64
19-Oct-12,9.39,-0.05,-0.53
18-Oct-12,9.44,-0.09,-0.94
17-Oct-12,9.53,-0.04,-0.42
16-Oct-12,9.57,0.04,0.42
15-Oct-12,9.53,0.03,0.32
12-Oct-12,9.50,-0.07,-0.73
11-Oct-12,9.57,-0.04,-0.42
10-Oct-12,9.61,-0.11,-1.13
09-Oct-12,9.72,-0.04,-0.41
08-Oct-12,9.76,-0.07,-0.71
05-Oct-12,9.83,0.06,0.61
04-Oct-12,9.77,-0.03,-0.31
03-Oct-12,9.80,0.03,0.31
02-Oct-12,9.77,-0.01,-0.10
01-Oct-12,9.78,-0.01,-0.10
28-Sep-12,9.79,0.04,0.41
27-Sep-12,9.75,0.02,0.21
26-Sep-12,9.73,-0.12,-1.22
25-Sep-12,9.85,-0.07,-0.71
24-Sep-12,9.92,-0.06,-0.60
21-Sep-12,9.98,0.05,0.50
20-Sep-12,9.93,-0.03,-0.30
19-Sep-12,9.96,-0.02,-0.20
18-Sep-12,9.98,0.06,0.60
17-Sep-12,9.92,-0.09,-0.90
14-Sep-12,10.01,0.11,1.11
13-Sep-12,9.90,-0.01,-0.10
12-Sep-12,9.91,0.02,0.20
11-Sep-12,9.89,-0.10,-1.00
10-Sep-12,9.99,-0.02,-0.20
07-Sep-12,10.01,0.06,0.60
06-Sep-12,9.95,0.08,0.81
05-Sep-12,9.87,-0.05,-0.50
04-Sep-12,9.92,-0.01,-0.10
03-Sep-12,9.93,0.04,0.40
31-Aug-12,9.89,-0.08,-0.80
30-Aug-12,9.97,-0.06,-0.60
29-Aug-12,10.03,0.06,0.60
28-Aug-12,9.97,-0.04,-0.40
27-Aug-12,10.01,-0.02,-0.20
24-Aug-12,10.03,-0.04,-0.40
23-Aug-12,10.07,-0.08,-0.79
22-Aug-12,10.15,-0.14,-1.36
21-Aug-12,10.29,-0.06,-0.58
20-Aug-12,10.35,-0.07,-0.67
17-Aug-12,10.42,0.09,0.87
16-Aug-12,10.33,0.01,0.10
14-Aug-12,10.32,-0.01,-0.10
13-Aug-12,10.33,-0.09,-0.86
10-Aug-12,10.42,0.03,0.29
09-Aug-12,10.39,0.12,1.17
08-Aug-12,10.27,0.09,0.88
07-Aug-12,10.18,0.07,0.69
06-Aug-12,10.11,0.15,1.51
03-Aug-12,9.96,0.06,0.61
02-Aug-12,9.90,0.07,0.71
01-Aug-12,9.83,-0.12,-1.21
31-Jul-12,9.95,-0.05,-0.50
30-Jul-12,10.00,0.19,1.94
27-Jul-12,9.81,0.09,0.93
26-Jul-12,9.72,0.00,0.00
25-Jul-12,9.72,-0.05,-0.51
24-Jul-12,9.77,0.09,0.93
23-Jul-12,9.68,-0.26,-2.62
20-Jul-12,9.94,0.01,0.10
19-Jul-12,9.93,0.21,2.16
18-Jul-12,9.72,0.14,1.46
17-Jul-12,9.58,-0.03,-0.31
16-Jul-12,9.61,0.00,0.00
13-Jul-12,9.61,0.08,0.84
12-Jul-12,9.53,-0.14,-1.45
11-Jul-12,9.67,-0.13,-1.33
10-Jul-12,9.80,0.09,0.93
09-Jul-12,9.71,-0.16,-1.62
06-Jul-12,9.87,-0.08,-0.80
05-Jul-12,9.95,0.09,0.91
04-Jul-12,9.86,0.08,0.82
03-Jul-12,9.78,0.05,0.51
02-Jul-12,9.73,0.20,2.10
29-Jun-12,9.53,0.00,0.00
28-Jun-12,9.53,0.00,0.00
27-Jun-12,9.53,0.08,0.85
26-Jun-12,9.45,-0.06,-0.63
25-Jun-12,9.51,-0.06,-0.63
22-Jun-12,9.57,-0.14,-1.44
21-Jun-12,9.71,0.00,0.00
20-Jun-12,9.71,0.00,0.00
19-Jun-12,9.71,0.06,0.62
18-Jun-12,9.65,0.13,1.37
15-Jun-12,9.52,0.02,0.21
14-Jun-12,9.50,-0.10,-1.04
13-Jun-12,9.60,-0.02,-0.21
12-Jun-12,9.62,-0.07,-0.72
11-Jun-12,9.69,0.08,0.83
08-Jun-12,9.61,-0.06,-0.62
07-Jun-12,9.67,0.11,1.15
06-Jun-12,9.56,0.18,1.92
05-Jun-12,9.38,0.09,0.97
04-Jun-12,9.29,-0.19,-2.00
01-Jun-12,9.48,-0.13,-1.35
31-May-12,9.61,-0.07,-0.72
30-May-12,9.68,-0.03,-0.31
29-May-12,9.71,0.11,1.15
25-May-12,9.60,-0.02,-0.21
24-May-12,9.62,0.05,0.52
23-May-12,9.57,-0.04,-0.42
22-May-12,9.61,0.29,3.11
21-May-12,9.32,-0.04,-0.43
18-May-12,9.36,-0.39,-4.00
16-May-12,9.75,-0.09,-0.91
15-May-12,9.84,0.05,0.51
14-May-12,9.79,0.00,0.00
11-May-12,9.79,-0.09,-0.91
10-May-12,9.88,0.08,0.82
09-May-12,9.80,-0.09,-0.91
08-May-12,9.89,-0.06,-0.60
07-May-12,9.95,-0.12,-1.19
04-May-12,10.07,-0.27,-2.61
03-May-12,10.34,0.00,0.00
02-May-12,10.34,0.11,1.08
30-Apr-12,10.23,0.03,0.29
27-Apr-12,10.20,0.08,0.79
26-Apr-12,10.12,0.06,0.60
25-Apr-12,10.06,0.14,1.41
24-Apr-12,9.92,-0.02,-0.20
23-Apr-12,9.94,-0.21,-2.07
20-Apr-12,10.15,-0.17,-1.65
19-Apr-12,10.32,0.04,0.39
18-Apr-12,10.28,0.09,0.88
17-Apr-12,10.19,0.01,0.10
16-Apr-12,10.18,-0.08,-0.78
13-Apr-12,10.26,0.10,0.98
12-Apr-12,10.16,0.04,0.40
11-Apr-12,10.12,-0.18,-1.75
10-Apr-12,10.30,-0.07,-0.68
05-Apr-12,10.37,0.01,0.10
04-Apr-12,10.36,-0.02,-0.19
03-Apr-12,10.38,0.06,0.58
02-Apr-12,10.32,0.06,0.58
30-Mar-12,10.26,-0.03,-0.29
29-Mar-12,10.29,-0.11,-1.06
28-Mar-12,10.40,0.01,0.10
27-Mar-12,10.39,0.12,1.17
26-Mar-12,10.27,0.10,0.98
23-Mar-12,10.17,-0.06,-0.59
22-Mar-12,10.23,0.00,0.00
21-Mar-12,10.23,0.04,0.39
20-Mar-12,10.19,-0.08,-0.78
19-Mar-12,10.27,-0.04,-0.39
16-Mar-12,10.31,0.00,0.00
15-Mar-12,10.31,0.02,0.19
14-Mar-12,10.29,0.13,1.28
13-Mar-12,10.16,0.16,1.60
12-Mar-12,10.00,-0.01,-0.10
09-Mar-12,10.01,0.18,1.83
08-Mar-12,9.83,0.04,0.41
07-Mar-12,9.79,0.05,0.51
06-Mar-12,9.74,-0.13,-1.32
05-Mar-12,9.87,-0.11,-1.10
02-Mar-12,9.98,0.10,1.01
01-Mar-12,9.88,0.04,0.41
29-Feb-12,9.84,0.05,0.51
28-Feb-12,9.79,0.09,0.93
27-Feb-12,9.70,-0.07,-0.72
24-Feb-12,9.77,0.02,0.21
23-Feb-12,9.75,-0.12,-1.22
22-Feb-12,9.87,0.00,0.00
21-Feb-12,9.87,0.00,0.00
20-Feb-12,9.87,-0.08,-0.80
17-Feb-12,9.95,0.02,0.20
16-Feb-12,9.93,-0.06,-0.60
15-Feb-12,9.99,0.17,1.73
14-Feb-12,9.82,0.05,0.51
13-Feb-12,9.77,0.04,0.41
10-Feb-12,9.73,0.02,0.21
09-Feb-12,9.71,-0.01,-0.10
08-Feb-12,9.72,0.05,0.52
07-Feb-12,9.67,-0.13,-1.33
06-Feb-12,9.80,0.05,0.51
03-Feb-12,9.75,0.14,1.46
02-Feb-12,9.61,0.15,1.59
01-Feb-12,9.46,-0.04,-0.42
31-Jan-12,9.50,0.10,1.06
30-Jan-12,9.40,-0.01,-0.11
27-Jan-12,9.41,-0.09,-0.95
26-Jan-12,9.50,0.05,0.53
25-Jan-12,9.45,0.09,0.96
24-Jan-12,9.36,0.02,0.21
23-Jan-12,9.34,-0.06,-0.64
20-Jan-12,9.40,0.00,0.00
19-Jan-12,9.40,0.14,1.51
18-Jan-12,9.26,-0.01,-0.11
17-Jan-12,9.27,0.07,0.76
16-Jan-12,9.20,-0.02,-0.22
13-Jan-12,9.22,0.07,0.77
12-Jan-12,9.15,-0.06,-0.65
11-Jan-12,9.21,0.08,0.88
10-Jan-12,9.13,0.07,0.77
09-Jan-12,9.06,0.02,0.22
06-Jan-12,9.04,0.08,0.89
05-Jan-12,8.96,0.14,1.59
04-Jan-12,8.82,-0.07,-0.79
03-Jan-12,8.89,0.11,1.25
02-Jan-12,8.78,0.00,0.00
30-Dec-11,8.78,0.03,0.34
29-Dec-11,8.75,0.02,0.23
28-Dec-11,8.73,-0.02,-0.23
27-Dec-11,8.75,0.03,0.34
23-Dec-11,8.72,0.06,0.69
22-Dec-11,8.66,0.06,0.70
21-Dec-11,8.60,-0.03,-0.35
20-Dec-11,8.63,0.02,0.23
19-Dec-11,8.61,-0.05,-0.58
16-Dec-11,8.66,0.01,0.12
15-Dec-11,8.65,-0.11,-1.26
14-Dec-11,8.76,-0.12,-1.35
13-Dec-11,8.88,0.10,1.14
12-Dec-11,8.78,0.06,0.69
09-Dec-11,8.72,-0.15,-1.69
08-Dec-11,8.87,0.05,0.57
07-Dec-11,8.82,-0.10,-1.12
06-Dec-11,8.92,0.02,0.22
05-Dec-11,8.90,0.04,0.45
02-Dec-11,8.86,0.04,0.45
01-Dec-11,8.82,0.15,1.73
30-Nov-11,8.67,0.10,1.17
29-Nov-11,8.57,0.08,0.94
28-Nov-11,8.49,0.13,1.56
25-Nov-11,8.36,0.04,0.48
24-Nov-11,8.32,-0.08,-0.95
23-Nov-11,8.40,-0.06,-0.71
22-Nov-11,8.46,-0.06,-0.70
21-Nov-11,8.52,-0.15,-1.73
18-Nov-11,8.67,-0.19,-2.14
17-Nov-11,8.86,-0.09,-1.01
16-Nov-11,8.95,0.03,0.34
15-Nov-11,8.92,-0.02,-0.22
14-Nov-11,8.94,0.13,1.48
11-Nov-11,8.81,0.06,0.69
10-Nov-11,8.75,-0.18,-2.02
09-Nov-11,8.93,-0.02,-0.22
08-Nov-11,8.95,0.08,0.90
07-Nov-11,8.87,0.00,0.00
04-Nov-11,8.87,0.10,1.14
03-Nov-11,8.77,0.14,1.62
02-Nov-11,8.63,-0.10,-1.15
31-Oct-11,8.73,-0.02,-0.23
28-Oct-11,8.75,0.04,0.46
27-Oct-11,8.71,0.06,0.69
26-Oct-11,8.65,-0.05,-0.57
25-Oct-11,8.70,0.04,0.46
24-Oct-11,8.66,0.14,1.64
21-Oct-11,8.52,0.09,1.07
20-Oct-11,8.43,-0.20,-2.32
19-Oct-11,8.63,-0.01,-0.12
18-Oct-11,8.64,-0.06,-0.69
17-Oct-11,8.70,0.06,0.69
14-Oct-11,8.64,0.03,0.35
13-Oct-11,8.61,0.01,0.12
12-Oct-11,8.60,0.02,0.23
11-Oct-11,8.58,0.12,1.42
10-Oct-11,8.46,0.05,0.59
07-Oct-11,8.41,0.05,0.60
06-Oct-11,8.36,0.18,2.20
05-Oct-11,8.18,0.13,1.61
04-Oct-11,8.05,-0.11,-1.35
03-Oct-11,8.16,-0.11,-1.33
30-Sep-11,8.27,-0.13,-1.55
29-Sep-11,8.40,-0.08,-0.94
28-Sep-11,8.48,0.01,0.12
27-Sep-11,8.47,0.23,2.79
26-Sep-11,8.24,-0.02,-0.24
23-Sep-11,8.26,-0.06,-0.72
22-Sep-11,8.32,-0.33,-3.82
21-Sep-11,8.65,0.00,0.00
20-Sep-11,8.65,0.06,0.70
19-Sep-11,8.59,-0.05,-0.58
16-Sep-11,8.64,0.11,1.29
15-Sep-11,8.53,0.03,0.35
14-Sep-11,8.50,0.09,1.07
13-Sep-11,8.41,0.09,1.08
12-Sep-11,8.32,-0.07,-0.83
09-Sep-11,8.39,0.03,0.36
08-Sep-11,8.36,0.09,1.09
07-Sep-11,8.27,0.29,3.63
06-Sep-11,7.98,-0.16,-1.97
05-Sep-11,8.14,-0.07,-0.85
